,gerbilID,date_x,tt_name,folder_cellname_py,cell_name,nSpikes_x,mfr,peak,valley,peak_valley,spike_ratio,spike_width_ms,asymmetry,latency,isolation_distance,session,folder,gerbil,date_y,cell_id,folder_cell_id_matlab,nSpikes_y,IsolationDistance,IsoDistPCA,IsoDistPC1,IsoDistPeak,Notes
23,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_02,TT3_SS_02,8891,3.1267847747983466,60.67742268046722,-21.459858027992574,82.1372807084598,2.827484813800662,0.53125,0.2333752244061839,0.53125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_02,000395_2018-03-01_TT3_SS_02,8891, 18.467131, 6.548113, 0.461634, 0.763490, 
24,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_03,TT3_SS_03,2792,0.9819185605467796,42.48519404141769,-32.67953391027332,75.16472795169099,1.3000550790616328,0.59375,-1.0,0.1875,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_03,000395_2018-03-01_TT3_SS_03,2792, 19.554072, 5.566933, 0.378457, 0.872911, 
25,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_04,TT3_SS_04,1469,0.5171956097873548,124.10171647237736,-49.901084470271606,174.00280094264897,2.4869542974824626,0.34375,-1.0,0.4375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_04,000395_2018-03-01_TT3_SS_04,1469, 13.810866, 2.102096, 0.152672, 0.847663, 
26,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_05,TT3_SS_05,5794,2.0373294738703884,85.1732117637562,-91.56125614494768,176.73446790870392,0.930232014608026,0.1875,-0.39931304304683307,0.375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_05,000395_2018-03-01_TT3_SS_05,5794, 17.844862, 6.201151, 0.532886, 1.488447, 
27,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_06,TT3_SS_06,21548,7.575762902668956,35.83863489828528,-37.06949004609229,72.90812494437756,0.9667960053867328,0.40625,-0.7712852881578879,0.34375,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_06,000395_2018-03-01_TT3_SS_06,21548, 19.784940, 7.534508, 0.974604, 0.839966, 
28,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_07,TT3_SS_07,5410,1.9024008580144351,73.27588900706247,-45.470897935409404,118.74678694247187,1.6114898173145729,0.125,-1.0,0.03125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_07,000395_2018-03-01_TT3_SS_07,5410, 35.927364, 11.685316, 0.356013, 0.500885, 
29,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_08,TT3_SS_08,2474,0.8710896472368607,78.40764684279878,-111.19586006981791,189.6035069126167,0.7051309895311572,0.28125,-1.0,0.28125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_08,000395_2018-03-01_TT3_SS_08,2474, 35.451655, 12.997911, 1.043602, 1.278868, 
30,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_09,TT3_SS_09,2668,0.9385549068691806,61.754492482423785,-54.01003157010382,115.7645240525276,1.1433893054157511,0.28125,-1.0,0.125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_09,000395_2018-03-01_TT3_SS_09,2668, 16.882229, 5.495692, 0.519527, 0.588202, 
31,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_10,TT3_SS_10,1262,0.4438478017048398,26.133574976195487,-73.99215760045452,100.12573257665001,0.3531938495064909,0.1875,-0.7532468820350376,0.53125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_10,000395_2018-03-01_TT3_SS_10,1262, 26.850623, 3.457057, 0.228792, 0.137726, 
32,395,2018-03-01,000395_2018-03-01_TT3,000395_2018-03-01_TT3_SS_11,TT3_SS_11,10718,3.7683773440288015,46.83740136479522,-50.90028788331074,97.73768924810595,0.9201794982411552,0.25,-1.0,0.03125,,g0395_d1,000395_2018-03-01_pre_RM2020_45max_c,395,2018-03-01, TT3_SS_11,000395_2018-03-01_TT3_SS_11,10718, 28.986295, 11.359957, 0.549037, 0.924221, 
